Stay Type,Sales Channel,Trip Type,Booking Origin,Flight Day,Days Before Flight,Length of Stay,Booking Completed
Long Stay,Internet,RoundTrip,Japan,7,198,207,0
Long Stay,Internet,RoundTrip,Japan,6,23,27,0
Long Stay,Internet,RoundTrip,New Zealand,5,33,20,0
Long Stay,Internet,RoundTrip,New Zealand,1,120,91,0
Long Stay,Internet,RoundTrip,New Zealand,4,69,34,0
Long Stay,Mobile,CircleTrip,New Zealand,3,281,18,0
Long Stay,Internet,CircleTrip,New Zealand,2,282,18,0
Long Stay,Internet,RoundTrip,New Zealand,3,69,21,0
Short Stay,Internet,OneWay,New Zealand,2,67,1,0
Long Stay,Internet,RoundTrip,Malaysia,1,15,31,1
Long Stay,Internet,RoundTrip,Malaysia,2,31,274,0
Long Stay,Internet,RoundTrip,Malaysia,2,316,35,0
Long Stay,Internet,RoundTrip,Malaysia,2,232,17,0
Long Stay,Internet,RoundTrip,Malaysia,1,156,19,1
Long Stay,Internet,RoundTrip,New Zealand,2,196,44,0
Long Stay,Internet,RoundTrip,New Zealand,1,283,38,0
Long Stay,Internet,RoundTrip,New Zealand,5,34,24,0
Long Stay,Mobile,RoundTrip,New Zealand,1,63,57,0
Long Stay,Internet,RoundTrip,New Zealand,2,5,18,0
Long Stay,Internet,RoundTrip,Malaysia,2,6,106,0
Long Stay,Internet,RoundTrip,Malaysia,5,227,68,0
Long Stay,Internet,RoundTrip,Singapore,2,181,87,1
Long Stay,Internet,RoundTrip,New Zealand,2,8,33,0
Long Stay,Internet,RoundTrip,Switzerland,5,138,35,0
Long Stay,Internet,RoundTrip,New Zealand,3,134,37,0
Long Stay,Internet,RoundTrip,New Zealand,4,8,29,0
Long Stay,Internet,RoundTrip,New Zealand,5,23,51,0
Long Stay,Mobile,RoundTrip,Malaysia,7,57,21,0
Long Stay,Internet,RoundTrip,New Zealand,1,85,19,0
Long Stay,Internet,RoundTrip,New Zealand,7,65,31,0
Short Stay,Internet,OneWay,New Zealand,2,27,1,0
Long Stay,Internet,RoundTrip,Germany,2,93,196,0
Long Stay,Mobile,RoundTrip,New Zealand,1,16,77,0
Long Stay,Internet,RoundTrip,New Zealand,2,118,17,0
Long Stay,Internet,RoundTrip,Malaysia,4,90,20,0
Long Stay,Internet,RoundTrip,New Zealand,1,168,41,0
Long Stay,Mobile,RoundTrip,Malaysia,2,127,17,1
Long Stay,Mobile,RoundTrip,New Zealand,1,18,17,0
Long Stay,Internet,RoundTrip,New Zealand,2,153,30,0
Long Stay,Internet,RoundTrip,Malaysia,6,51,21,0
Long Stay,Internet,RoundTrip,New Zealand,2,186,27,0
Long Stay,Internet,RoundTrip,Malaysia,2,5,87,0
Long Stay,Internet,RoundTrip,Malaysia,4,65,278,0
Long Stay,Internet,RoundTrip,New Zealand,4,2,18,0
Long Stay,Internet,RoundTrip,Malaysia,7,263,58,0
Long Stay,Internet,RoundTrip,New Zealand,6,172,28,0
Long Stay,Internet,RoundTrip,New Zealand,4,161,108,0
Long Stay,Internet,RoundTrip,Malaysia,1,230,29,0
Long Stay,Internet,RoundTrip,Indonesia,1,7,21,0
Long Stay,Internet,RoundTrip,Malaysia,2,42,17,1
Long Stay,Internet,RoundTrip,New Zealand,5,71,29,0
Long Stay,Internet,RoundTrip,Malaysia,4,22,180,1
Long Stay,Internet,RoundTrip,New Zealand,5,81,21,0
Long Stay,Internet,RoundTrip,China,7,140,18,0
Long Stay,Mobile,RoundTrip,New Zealand,6,42,72,0
Long Stay,Internet,RoundTrip,New Zealand,2,168,32,0
Long Stay,Internet,RoundTrip,Czech Republic,3,285,30,0
Long Stay,Internet,RoundTrip,Malaysia,4,179,18,0
Long Stay,Internet,RoundTrip,New Zealand,6,341,21,0
Long Stay,Internet,RoundTrip,New Zealand,4,96,51,0
Long Stay,Internet,RoundTrip,New Zealand,4,173,17,0
Long Stay,Internet,RoundTrip,New Zealand,3,180,24,0
Long Stay,Internet,RoundTrip,Malaysia,7,366,17,0
Long Stay,Internet,RoundTrip,Malaysia,1,229,17,1
Long Stay,Internet,RoundTrip,Malaysia,2,174,61,0
Long Stay,Internet,RoundTrip,Czech Republic,5,82,25,0
Long Stay,Internet,RoundTrip,Malaysia,1,75,62,0
Long Stay,Internet,RoundTrip,New Zealand,1,163,21,0
Long Stay,Internet,RoundTrip,New Zealand,5,105,21,0
Long Stay,Internet,RoundTrip,New Zealand,1,276,45,0
Long Stay,Internet,RoundTrip,New Zealand,4,35,31,0
Long Stay,Internet,RoundTrip,New Zealand,3,110,26,0
Long Stay,Internet,RoundTrip,Malaysia,6,83,44,0
Long Stay,Mobile,RoundTrip,Malaysia,1,154,25,0
Long Stay,Internet,RoundTrip,New Zealand,2,118,19,0
Long Stay,Internet,RoundTrip,New Zealand,3,55,20,0
Long Stay,Mobile,RoundTrip,New Zealand,6,45,35,0
Long Stay,Internet,RoundTrip,New Zealand,7,54,23,0
Long Stay,Internet,RoundTrip,Malaysia,2,193,19,0
Long Stay,Internet,RoundTrip,Singapore,2,10,91,1
Long Stay,Internet,RoundTrip,New Zealand,3,166,18,0
Long Stay,Internet,RoundTrip,Malaysia,7,97,25,0
Long Stay,Internet,RoundTrip,Malaysia,4,239,17,0
Long Stay,Internet,RoundTrip,New Zealand,6,97,50,0
Long Stay,Internet,RoundTrip,Vietnam,7,182,28,0
Long Stay,Internet,RoundTrip,Singapore,7,99,21,1
Long Stay,Internet,RoundTrip,New Zealand,2,23,59,0
Long Stay,Mobile,RoundTrip,Malaysia,1,53,18,0
Long Stay,Internet,RoundTrip,Malaysia,6,28,125,0
Long Stay,Internet,RoundTrip,Malaysia,4,384,18,0
Long Stay,Internet,RoundTrip,New Zealand,5,22,27,0
Long Stay,Internet,RoundTrip,Malaysia,4,70,106,0
Long Stay,Internet,RoundTrip,Germany,7,126,28,0
Long Stay,Internet,RoundTrip,Malaysia,2,8,45,0
Long Stay,Internet,RoundTrip,New Zealand,7,51,29,0
Long Stay,Internet,RoundTrip,Malaysia,3,142,124,1
Long Stay,Internet,RoundTrip,Thailand,6,87,33,0
Long Stay,Mobile,RoundTrip,New Zealand,5,238,21,0
Long Stay,Internet,RoundTrip,New Zealand,6,86,34,0
Long Stay,Mobile,RoundTrip,New Zealand,6,313,35,0
Long Stay,Internet,RoundTrip,Spain,7,41,20,0
Long Stay,Internet,RoundTrip,New Zealand,3,91,46,0
Long Stay,Mobile,RoundTrip,Malaysia,2,41,21,0
Long Stay,Internet,RoundTrip,New Zealand,2,82,33,0
Long Stay,Internet,RoundTrip,Malaysia,7,206,17,0
Long Stay,Internet,RoundTrip,New Zealand,4,6,55,0
Long Stay,Internet,RoundTrip,Malaysia,5,197,18,0
Long Stay,Internet,RoundTrip,Malaysia,2,34,22,1
Long Stay,Internet,RoundTrip,Malaysia,2,112,21,0
Long Stay,Internet,RoundTrip,New Zealand,1,268,47,0
Long Stay,Internet,RoundTrip,Romania,1,157,26,0
Long Stay,Internet,RoundTrip,Malaysia,3,145,51,0
Long Stay,Internet,RoundTrip,New Zealand,1,241,24,0
Long Stay,Internet,RoundTrip,Ireland,5,172,17,0
Long Stay,Internet,RoundTrip,Malaysia,3,99,19,0
Long Stay,Mobile,RoundTrip,New Zealand,7,139,22,0
Long Stay,Internet,RoundTrip,Malaysia,7,59,35,1
Long Stay,Internet,RoundTrip,New Zealand,1,396,23,0
Long Stay,Internet,RoundTrip,Malaysia,2,280,18,0
Long Stay,Internet,RoundTrip,Malaysia,2,79,23,0
Long Stay,Internet,RoundTrip,New Zealand,3,37,26,0
Long Stay,Internet,RoundTrip,Italy,6,69,19,0
Long Stay,Internet,RoundTrip,New Zealand,4,380,21,0
Long Stay,Internet,RoundTrip,Malaysia,7,206,17,0
Long Stay,Internet,RoundTrip,New Zealand,3,13,27,0
Long Stay,Internet,RoundTrip,New Zealand,5,229,31,0
Long Stay,Internet,RoundTrip,Slovakia,1,132,20,0
Long Stay,Internet,RoundTrip,Malaysia,7,121,18,0
Long Stay,Internet,RoundTrip,Malaysia,4,316,22,1
Long Stay,Internet,RoundTrip,Malaysia,2,67,35,1
Long Stay,Internet,RoundTrip,Malaysia,7,419,21,0
Long Stay,Internet,RoundTrip,Malaysia,1,18,46,0
Long Stay,Internet,RoundTrip,United Arab Emirates,3,58,21,0
Long Stay,Internet,RoundTrip,Tonga,3,115,87,0
Long Stay,Internet,RoundTrip,Malaysia,5,236,91,0
Long Stay,Internet,RoundTrip,Germany,2,225,25,1
Long Stay,Internet,RoundTrip,Malaysia,4,116,56,0
Long Stay,Internet,RoundTrip,Malaysia,6,34,90,0
Long Stay,Internet,RoundTrip,Germany,7,191,60,0
Long Stay,Internet,RoundTrip,New Zealand,6,55,22,0
Long Stay,Mobile,RoundTrip,New Zealand,6,53,180,0
Long Stay,Internet,RoundTrip,New Zealand,7,13,17,0
Long Stay,Internet,RoundTrip,New Zealand,3,275,36,0
Long Stay,Internet,RoundTrip,New Zealand,7,58,17,0
Long Stay,Internet,RoundTrip,New Zealand,1,45,25,0
Long Stay,Internet,RoundTrip,New Zealand,7,417,22,0
Long Stay,Internet,RoundTrip,New Zealand,5,159,21,0
Long Stay,Internet,RoundTrip,New Zealand,7,173,40,0
Long Stay,Internet,RoundTrip,Réunion,1,92,65,0
Long Stay,Internet,RoundTrip,Japan,4,106,208,0
Long Stay,Internet,RoundTrip,Malaysia,2,316,35,0
Long Stay,Internet,RoundTrip,New Zealand,1,245,27,1
Long Stay,Internet,RoundTrip,New Zealand,2,218,21,0
Long Stay,Internet,RoundTrip,New Zealand,7,96,106,0
Long Stay,Internet,RoundTrip,Malaysia,1,67,22,0
Long Stay,Internet,RoundTrip,Malaysia,5,145,204,0
Long Stay,Internet,RoundTrip,Malaysia,1,295,18,0
Long Stay,Internet,RoundTrip,New Zealand,3,57,51,0
Long Stay,Mobile,RoundTrip,New Zealand,2,12,20,0
Long Stay,Internet,RoundTrip,New Zealand,4,77,31,0
Long Stay,Internet,RoundTrip,Malaysia,2,7,83,0
Long Stay,Mobile,RoundTrip,New Zealand,3,305,18,0
Long Stay,Internet,RoundTrip,Malaysia,2,235,18,1
Long Stay,Internet,RoundTrip,New Zealand,6,332,17,0
Long Stay,Internet,RoundTrip,New Zealand,2,3,35,0
Long Stay,Internet,RoundTrip,Malaysia,4,56,42,1
Long Stay,Internet,RoundTrip,Malaysia,4,125,85,0
Long Stay,Internet,RoundTrip,Malaysia,6,86,21,0
Long Stay,Internet,RoundTrip,New Zealand,1,204,24,0
Long Stay,Internet,RoundTrip,New Zealand,2,310,44,0
Long Stay,Internet,RoundTrip,New Zealand,1,115,20,0
Long Stay,Internet,RoundTrip,New Zealand,4,57,24,0
Long Stay,Internet,RoundTrip,Malaysia,7,368,36,0
Long Stay,Internet,RoundTrip,Malaysia,7,59,37,0
Long Stay,Internet,RoundTrip,New Zealand,7,6,21,0
Long Stay,Internet,RoundTrip,Vietnam,3,67,22,0
Long Stay,Internet,RoundTrip,New Zealand,6,169,22,0
Long Stay,Internet,RoundTrip,Malaysia,4,214,38,0
Long Stay,Internet,RoundTrip,Malaysia,4,5,19,0
Long Stay,Internet,RoundTrip,(not set),6,14,17,1
Long Stay,Internet,RoundTrip,Malaysia,4,173,64,0
Long Stay,Internet,RoundTrip,New Zealand,1,7,22,0
Long Stay,Internet,RoundTrip,New Zealand,7,196,86,0
Long Stay,Internet,RoundTrip,New Zealand,7,155,24,0
Long Stay,Internet,RoundTrip,New Zealand,6,245,19,0
Long Stay,Mobile,RoundTrip,Malaysia,5,22,82,1
Long Stay,Internet,RoundTrip,Malaysia,3,325,22,0
Short Stay,Internet,OneWay,New Zealand,7,6,1,0
Long Stay,Internet,RoundTrip,New Zealand,1,130,18,0
Long Stay,Internet,RoundTrip,Malaysia,5,218,17,1
Long Stay,Internet,RoundTrip,Malaysia,7,189,35,0
Long Stay,Internet,RoundTrip,Malaysia,4,35,41,0
Long Stay,Internet,RoundTrip,New Zealand,2,189,60,0
Long Stay,Internet,RoundTrip,Malaysia,7,226,17,0
Long Stay,Internet,RoundTrip,India,4,122,30,0
Long Stay,Internet,RoundTrip,Malaysia,3,88,30,0
Long Stay,Internet,RoundTrip,Malaysia,5,211,21,1
Long Stay,Internet,RoundTrip,Malaysia,7,259,82,1
Long Stay,Internet,RoundTrip,Malaysia,4,188,17,1
Long Stay,Internet,RoundTrip,New Zealand,1,129,25,0
Long Stay,Internet,RoundTrip,New Zealand,4,190,69,0
Long Stay,Internet,RoundTrip,Malaysia,2,172,54,0
Long Stay,Internet,RoundTrip,New Zealand,1,149,17,0
Long Stay,Internet,RoundTrip,Saudi Arabia,7,15,28,1
Long Stay,Internet,RoundTrip,Malaysia,7,38,17,0
Long Stay,Mobile,RoundTrip,New Zealand,5,8,238,0
Long Stay,Internet,RoundTrip,New Zealand,7,214,23,0
Long Stay,Internet,RoundTrip,Singapore,3,14,275,1
Long Stay,Internet,RoundTrip,Malaysia,5,9,84,0
Long Stay,Internet,RoundTrip,Malaysia,6,70,20,0
Long Stay,Internet,RoundTrip,Malaysia,7,35,17,0
Long Stay,Internet,RoundTrip,New Zealand,6,53,42,0
Long Stay,Internet,RoundTrip,Malaysia,3,77,28,0
Long Stay,Internet,RoundTrip,New Zealand,4,259,39,0
Long Stay,Internet,RoundTrip,Malaysia,7,106,27,0
Long Stay,Internet,RoundTrip,New Zealand,7,194,86,0
Long Stay,Internet,RoundTrip,Malaysia,3,134,26,0
Long Stay,Internet,RoundTrip,Malaysia,7,3,36,1
Long Stay,Internet,RoundTrip,New Zealand,4,149,17,0
Long Stay,Internet,RoundTrip,Malaysia,5,9,44,1
Long Stay,Internet,RoundTrip,Netherlands,2,37,95,0
Long Stay,Internet,RoundTrip,New Zealand,5,183,34,0
Long Stay,Internet,RoundTrip,New Zealand,5,40,31,0
Long Stay,Internet,RoundTrip,New Zealand,3,95,83,1
Long Stay,Internet,RoundTrip,New Zealand,5,135,24,0
Long Stay,Mobile,RoundTrip,Germany,5,15,90,0
Long Stay,Internet,RoundTrip,Malaysia,6,222,23,1
Long Stay,Internet,RoundTrip,Malaysia,1,64,29,1
Long Stay,Internet,RoundTrip,New Zealand,2,162,19,0
Long Stay,Internet,RoundTrip,New Zealand,7,22,27,0
Long Stay,Internet,RoundTrip,New Zealand,7,150,31,0
Long Stay,Internet,RoundTrip,New Zealand,5,73,27,0
Long Stay,Internet,RoundTrip,New Zealand,6,133,19,0
Short Stay,Internet,OneWay,New Zealand,3,24,1,0
Long Stay,Internet,RoundTrip,Malaysia,7,66,20,0
Long Stay,Internet,RoundTrip,Malaysia,6,89,22,0
Long Stay,Internet,RoundTrip,Malaysia,6,105,91,0
Long Stay,Internet,RoundTrip,New Zealand,4,115,95,0
Long Stay,Internet,RoundTrip,New Zealand,7,151,39,0
Long Stay,Internet,RoundTrip,New Zealand,1,349,18,0
Long Stay,Internet,RoundTrip,Malaysia,5,13,18,1
Long Stay,Internet,RoundTrip,New Zealand,5,29,20,0
Long Stay,Mobile,RoundTrip,Malaysia,4,69,28,0
Long Stay,Internet,RoundTrip,Malaysia,7,206,17,0
Long Stay,Internet,RoundTrip,Malaysia,5,6,21,0
Long Stay,Mobile,RoundTrip,Indonesia,1,23,31,0
Long Stay,Internet,RoundTrip,New Zealand,1,197,19,1
Long Stay,Internet,RoundTrip,Malaysia,7,368,65,1
Long Stay,Internet,RoundTrip,Malaysia,5,25,19,0
Long Stay,Internet,RoundTrip,Qatar,5,189,33,1
Long Stay,Mobile,RoundTrip,Malaysia,2,123,70,0
Long Stay,Internet,RoundTrip,Malaysia,2,298,22,0
Long Stay,Internet,RoundTrip,New Zealand,7,89,24,0
Long Stay,Internet,RoundTrip,New Zealand,3,241,125,0
Long Stay,Mobile,RoundTrip,New Zealand,3,195,27,0
Long Stay,Mobile,RoundTrip,Malaysia,3,84,18,0
Long Stay,Internet,RoundTrip,Germany,6,410,25,1
Long Stay,Internet,RoundTrip,New Zealand,2,95,24,1
Long Stay,Internet,RoundTrip,Hong Kong,4,122,54,0
Long Stay,Internet,RoundTrip,New Zealand,7,216,26,0
Long Stay,Internet,RoundTrip,New Zealand,3,89,20,0
Long Stay,Internet,RoundTrip,Japan,1,111,42,1
Long Stay,Internet,RoundTrip,Malaysia,6,11,39,0
Long Stay,Internet,RoundTrip,New Zealand,3,174,17,0
Long Stay,Mobile,RoundTrip,Malaysia,4,162,18,1
Short Stay,Internet,OneWay,New Zealand,5,139,1,0
Long Stay,Internet,RoundTrip,New Zealand,1,19,93,0
Long Stay,Internet,RoundTrip,New Zealand,4,110,18,0
Long Stay,Internet,RoundTrip,Malaysia,4,9,54,1
Long Stay,Mobile,RoundTrip,Malaysia,7,47,28,0
Long Stay,Mobile,RoundTrip,Malaysia,7,349,21,0
Long Stay,Internet,RoundTrip,Malaysia,7,109,21,1
Long Stay,Internet,RoundTrip,Malaysia,2,0,23,0
Long Stay,Internet,RoundTrip,Malaysia,1,38,21,0
Long Stay,Internet,RoundTrip,New Zealand,3,58,28,0
Long Stay,Internet,RoundTrip,Malaysia,7,192,20,1
Long Stay,Mobile,RoundTrip,Malaysia,7,210,21,0
Long Stay,Internet,RoundTrip,Malaysia,7,326,22,1
Long Stay,Internet,RoundTrip,Malaysia,2,13,17,0
Long Stay,Internet,RoundTrip,Malaysia,3,240,64,0
Long Stay,Internet,RoundTrip,New Zealand,1,39,21,0
Long Stay,Internet,RoundTrip,Indonesia,7,23,35,0
Long Stay,Internet,OneWay,Hong Kong,1,198,34,0
Long Stay,Internet,RoundTrip,Thailand,2,75,30,0
Long Stay,Internet,RoundTrip,New Zealand,1,54,20,0
Long Stay,Internet,RoundTrip,New Zealand,7,32,41,0
Long Stay,Internet,RoundTrip,Switzerland,4,101,34,0
Long Stay,Internet,RoundTrip,Japan,2,294,49,0
Long Stay,Internet,RoundTrip,New Zealand,3,304,59,0
Long Stay,Internet,RoundTrip,Malaysia,3,32,23,1
Long Stay,Mobile,RoundTrip,New Zealand,3,160,24,0
Long Stay,Internet,RoundTrip,Malaysia,1,363,18,0
Long Stay,Internet,RoundTrip,Malaysia,7,214,31,0
Long Stay,Internet,RoundTrip,Malaysia,2,162,18,1
Long Stay,Internet,RoundTrip,Malaysia,3,97,21,1
Long Stay,Internet,RoundTrip,New Zealand,1,71,30,1
Long Stay,Internet,RoundTrip,Malaysia,2,231,17,0
Long Stay,Internet,RoundTrip,Malaysia,5,163,35,1
Long Stay,Internet,RoundTrip,Malaysia,4,62,21,0
Long Stay,Internet,RoundTrip,New Zealand,2,1,18,0
Long Stay,Internet,RoundTrip,New Zealand,3,314,19,0
Long Stay,Internet,RoundTrip,Malaysia,5,178,69,0
Long Stay,Internet,RoundTrip,New Zealand,3,253,107,0
Long Stay,Internet,RoundTrip,New Zealand,4,81,43,0
Long Stay,Internet,RoundTrip,Malaysia,5,30,85,1
Long Stay,Internet,RoundTrip,New Zealand,5,120,20,0
Long Stay,Internet,RoundTrip,Malaysia,3,25,19,0
Long Stay,Internet,RoundTrip,Malaysia,4,62,30,0
Long Stay,Internet,RoundTrip,New Zealand,3,58,17,0
Long Stay,Internet,RoundTrip,Philippines,2,268,18,0
Long Stay,Internet,RoundTrip,New Zealand,5,199,27,0
Long Stay,Internet,RoundTrip,Malaysia,7,206,17,0
Long Stay,Internet,RoundTrip,New Zealand,7,159,29,0
Long Stay,Internet,RoundTrip,New Zealand,3,171,35,0
Long Stay,Internet,RoundTrip,Malaysia,2,6,18,1
Long Stay,Internet,RoundTrip,New Zealand,7,269,29,0
Long Stay,Internet,RoundTrip,United Kingdom,6,13,22,0
Long Stay,Internet,RoundTrip,Malaysia,7,301,121,0
Long Stay,Internet,RoundTrip,New Zealand,6,301,34,0
Long Stay,Internet,RoundTrip,Malaysia,3,72,26,0
Long Stay,Internet,RoundTrip,Malaysia,2,224,18,0
Long Stay,Internet,RoundTrip,Malaysia,5,269,17,0
Long Stay,Internet,RoundTrip,Malaysia,6,246,24,0
Long Stay,Mobile,RoundTrip,Malaysia,7,44,19,0
Long Stay,Mobile,RoundTrip,Malaysia,3,32,60,0
Long Stay,Internet,RoundTrip,Malaysia,1,198,20,0
Long Stay,Internet,RoundTrip,Malaysia,5,94,22,0
Long Stay,Internet,RoundTrip,New Zealand,2,265,59,0
Long Stay,Internet,RoundTrip,New Zealand,4,229,20,0
Long Stay,Internet,RoundTrip,Malaysia,6,282,18,0
Long Stay,Internet,RoundTrip,Sri Lanka,1,32,48,0
Long Stay,Internet,RoundTrip,Malaysia,6,113,47,0
Long Stay,Mobile,RoundTrip,New Zealand,2,96,20,0
Long Stay,Internet,RoundTrip,Malaysia,3,66,203,1
Long Stay,Internet,RoundTrip,Malaysia,5,49,40,0
Long Stay,Internet,RoundTrip,New Zealand,2,3,49,0
Long Stay,Internet,RoundTrip,New Zealand,5,254,30,0
Long Stay,Internet,RoundTrip,New Zealand,1,192,61,0
Long Stay,Internet,RoundTrip,Malaysia,7,186,19,1
Long Stay,Internet,RoundTrip,New Zealand,6,296,37,0
Long Stay,Internet,RoundTrip,Malaysia,3,74,31,0
Long Stay,Internet,RoundTrip,New Zealand,1,283,56,0
Long Stay,Internet,RoundTrip,Malaysia,5,29,48,0
Long Stay,Internet,RoundTrip,New Zealand,7,8,188,0
Long Stay,Mobile,RoundTrip,Malaysia,6,55,20,0
Long Stay,Internet,RoundTrip,Malaysia,7,231,89,0
Long Stay,Internet,RoundTrip,Singapore,3,250,30,1
Long Stay,Internet,RoundTrip,New Zealand,1,132,19,0
Long Stay,Internet,RoundTrip,Germany,5,123,78,0
Long Stay,Internet,RoundTrip,Malaysia,3,54,209,0
Long Stay,Internet,RoundTrip,Malaysia,3,156,22,0
Long Stay,Internet,RoundTrip,Japan,2,26,126,0
Long Stay,Internet,RoundTrip,Malaysia,3,285,20,1
Long Stay,Internet,RoundTrip,New Zealand,4,343,43,0
Long Stay,Internet,RoundTrip,Malaysia,1,218,27,0
Long Stay,Internet,RoundTrip,New Zealand,1,347,21,0
Long Stay,Internet,RoundTrip,Malaysia,7,363,31,0
Long Stay,Internet,RoundTrip,New Zealand,3,346,35,0
Long Stay,Internet,RoundTrip,Malaysia,7,61,41,0
Long Stay,Internet,RoundTrip,New Zealand,2,87,23,0
Long Stay,Internet,RoundTrip,Malaysia,7,352,20,0
Long Stay,Internet,RoundTrip,Malaysia,1,77,35,0
Long Stay,Internet,RoundTrip,Malaysia,6,255,33,0
Long Stay,Internet,RoundTrip,France,3,139,21,1
Long Stay,Internet,RoundTrip,Malaysia,1,280,80,0
Long Stay,Internet,RoundTrip,New Zealand,4,123,29,0
Long Stay,Internet,RoundTrip,Malaysia,1,11,30,0
Long Stay,Internet,RoundTrip,New Zealand,2,23,17,0
Long Stay,Internet,RoundTrip,Malaysia,2,269,20,0
Long Stay,Internet,RoundTrip,New Zealand,5,14,200,0
Long Stay,Internet,RoundTrip,New Zealand,2,267,91,0
Long Stay,Internet,RoundTrip,Germany,2,213,28,0
Long Stay,Internet,RoundTrip,United Kingdom,3,237,21,1
Long Stay,Internet,RoundTrip,Croatia,3,191,17,0
Long Stay,Internet,RoundTrip,Malaysia,5,10,61,0
Long Stay,Internet,RoundTrip,Malaysia,3,244,30,1
Long Stay,Internet,RoundTrip,Germany,7,224,18,0
Long Stay,Internet,RoundTrip,Singapore,2,109,20,0
